Serial_number:
1096029
Project ID:
Zealand
Location:
LL01_conduct_diversion_sw
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
CONDUCTIVITY
UNIT: µS/cm
Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
8/22/2025,03:20:00 pm,0,0.0381,28.743,0.0
8/22/2025,03:30:00 pm,0,0.2200,19.103,0.0
8/22/2025,03:40:00 pm,0,0.2213,18.671,0.0
8/22/2025,03:50:00 pm,0,0.2260,18.618,0.0
8/22/2025,04:00:00 pm,0,0.2268,18.765,0.0
8/22/2025,04:10:00 pm,0,0.2285,18.829,0.0
8/22/2025,04:20:00 pm,0,0.2280,18.770,0.0
8/22/2025,04:30:00 pm,0,0.2276,18.728,0.0
8/22/2025,04:40:00 pm,0,0.2273,18.664,0.0
8/22/2025,04:50:00 pm,0,0.2274,18.593,0.0
8/22/2025,05:00:00 pm,0,0.2273,18.466,0.0
8/22/2025,05:10:00 pm,0,0.2264,18.368,0.0
8/22/2025,05:20:00 pm,0,0.2269,18.228,0.0
8/22/2025,05:30:00 pm,0,0.2264,18.070,0.0
8/22/2025,05:40:00 pm,0,0.2266,17.947,0.0
8/22/2025,05:50:00 pm,0,0.2260,17.847,0.0
8/22/2025,06:00:00 pm,0,0.2355,17.717,0.0
8/22/2025,06:10:00 pm,0,0.2423,17.441,0.0
8/22/2025,06:20:00 pm,0,0.2418,17.241,0.0
8/22/2025,06:30:00 pm,0,0.2414,17.137,0.0
8/22/2025,06:40:00 pm,0,0.2417,17.018,0.0
8/22/2025,06:50:00 pm,0,0.2415,16.925,0.0
8/22/2025,07:00:00 pm,0,0.2412,16.837,0.0
8/22/2025,07:10:00 pm,0,0.2411,16.741,0.0
8/22/2025,07:20:00 pm,0,0.2412,16.655,0.0
8/22/2025,07:30:00 pm,0,0.2414,16.559,0.0
8/22/2025,07:40:00 pm,0,0.2411,16.470,0.0
8/22/2025,07:50:00 pm,0,0.2409,16.387,0.0
8/22/2025,08:00:00 pm,0,0.2407,16.300,0.0
8/22/2025,08:10:00 pm,0,0.2409,16.218,0.0
8/22/2025,08:20:00 pm,0,0.2409,16.151,0.0
8/22/2025,08:30:00 pm,0,0.2411,16.081,0.0
8/22/2025,08:40:00 pm,0,0.2413,16.022,0.0
8/22/2025,08:50:00 pm,0,0.2418,15.958,0.0
8/22/2025,09:00:00 pm,0,0.2417,15.891,0.0
8/22/2025,09:10:00 pm,0,0.2414,15.843,0.0
8/22/2025,09:20:00 pm,0,0.2415,15.795,0.0
8/22/2025,09:30:00 pm,0,0.2416,15.747,0.0
8/22/2025,09:40:00 pm,0,0.2415,15.698,0.0
8/22/2025,09:50:00 pm,0,0.2415,15.648,0.0
8/22/2025,10:00:00 pm,0,0.2415,15.602,0.0
8/22/2025,10:10:00 pm,0,0.2415,15.550,0.0
8/22/2025,10:20:00 pm,0,0.2411,15.499,0.0
8/22/2025,10:30:00 pm,0,0.2414,15.448,0.0
8/22/2025,10:40:00 pm,0,0.2416,15.395,0.0
8/22/2025,10:50:00 pm,0,0.2412,15.344,0.0
8/22/2025,11:00:00 pm,0,0.2415,15.294,0.0
8/22/2025,11:10:00 pm,0,0.2416,15.249,0.0
8/22/2025,11:20:00 pm,0,0.2414,15.207,0.0
8/22/2025,11:30:00 pm,0,0.2417,15.162,0.0
8/22/2025,11:40:00 pm,0,0.2413,15.123,0.0
8/22/2025,11:50:00 pm,0,0.2411,15.085,0.0
8/23/2025,12:00:00 am,0,0.2417,15.043,0.0
8/23/2025,12:10:00 am,0,0.2420,14.993,0.0
8/23/2025,12:20:00 am,0,0.2412,14.958,0.0
8/23/2025,12:30:00 am,0,0.2417,14.912,0.0
8/23/2025,12:40:00 am,0,0.2420,14.871,0.0
8/23/2025,12:50:00 am,0,0.2417,14.837,0.0
8/23/2025,01:00:00 am,0,0.2410,14.791,0.0
8/23/2025,01:10:00 am,0,0.2417,14.745,0.0
8/23/2025,01:20:00 am,0,0.2413,14.703,0.0
8/23/2025,01:30:00 am,0,0.2424,14.666,0.0
8/23/2025,01:40:00 am,0,0.2416,14.644,0.0
8/23/2025,01:50:00 am,0,0.2419,14.599,0.0
8/23/2025,02:00:00 am,0,0.2414,14.558,0.0
8/23/2025,02:10:00 am,0,0.2417,14.529,0.0
8/23/2025,02:20:00 am,0,0.2422,14.495,0.0
8/23/2025,02:30:00 am,0,0.2416,14.463,0.0
8/23/2025,02:40:00 am,0,0.2418,14.432,0.0
8/23/2025,02:50:00 am,0,0.2414,14.407,0.0
8/23/2025,03:00:00 am,0,0.2422,14.376,0.0
8/23/2025,03:10:00 am,0,0.2419,14.352,0.0
8/23/2025,03:20:00 am,0,0.2420,14.325,0.0
8/23/2025,03:30:00 am,0,0.2416,14.293,0.0
8/23/2025,03:40:00 am,0,0.2419,14.270,0.0
8/23/2025,03:50:00 am,0,0.2411,14.249,0.0
8/23/2025,04:00:00 am,0,0.2413,14.229,0.0
8/23/2025,04:10:00 am,0,0.2417,14.211,0.0
8/23/2025,04:20:00 am,0,0.2419,14.187,0.0
8/23/2025,04:30:00 am,0,0.2420,14.163,0.0
8/23/2025,04:40:00 am,0,0.2417,14.143,0.0
8/23/2025,04:50:00 am,0,0.2415,14.119,0.0
8/23/2025,05:00:00 am,0,0.2412,14.101,0.0
8/23/2025,05:10:00 am,0,0.2417,14.086,0.0
8/23/2025,05:20:00 am,0,0.2418,14.073,0.0
8/23/2025,05:30:00 am,0,0.2421,14.054,0.0
8/23/2025,05:40:00 am,0,0.2415,14.032,0.0
8/23/2025,05:50:00 am,0,0.2411,14.027,0.0
8/23/2025,06:00:00 am,0,0.2416,14.003,0.0
8/23/2025,06:10:00 am,0,0.2417,13.994,0.0
8/23/2025,06:20:00 am,0,0.2418,13.987,0.0
8/23/2025,06:30:00 am,0,0.2416,13.980,0.0
8/23/2025,06:40:00 am,0,0.2414,13.974,0.0
8/23/2025,06:50:00 am,0,0.2417,13.982,0.0
8/23/2025,07:00:00 am,0,0.2414,13.972,0.0
8/23/2025,07:10:00 am,0,0.2418,13.962,0.0
8/23/2025,07:20:00 am,0,0.2419,13.962,0.0
8/23/2025,07:30:00 am,0,0.2410,13.974,0.0
8/23/2025,07:40:00 am,0,0.2417,13.978,0.0
8/23/2025,07:50:00 am,0,0.2412,13.997,0.0
8/23/2025,08:00:00 am,0,0.2411,14.007,0.0
8/23/2025,08:10:00 am,0,0.2410,14.030,0.0
8/23/2025,08:20:00 am,0,0.2406,14.058,0.0
8/23/2025,08:30:00 am,0,0.2410,14.094,0.0
8/23/2025,08:40:00 am,0,0.2403,14.144,0.0
8/23/2025,08:50:00 am,0,0.2411,14.200,0.0
8/23/2025,09:00:00 am,0,0.2408,14.270,0.0
8/23/2025,09:10:00 am,0,0.2404,14.347,0.0
8/23/2025,09:20:00 am,0,0.2405,14.420,0.0
8/23/2025,09:30:00 am,0,0.2404,14.480,0.0
8/23/2025,09:40:00 am,0,0.2404,14.532,0.0
8/23/2025,09:50:00 am,0,0.2406,14.584,0.0
8/23/2025,10:00:00 am,0,0.2399,14.633,0.0
8/23/2025,10:10:00 am,0,0.2407,14.686,0.0
